sku,name,category,color,price,image_url
u0000000052100,柔軟棉質圓領T恤(長袖),男士上衣,深灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052100/main/first/561/1.jpg
u0000000053021,法蘭絨襯衫(長袖/格紋),男士上衣,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000053021/main/first/561/1.jpg
u0000000051664,牛津襯衫(長袖),男士上衣,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000051664/main/first/561/1.jpg
u0000000050301,休閒連帽外套(長袖),男士上衣,淺灰色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050301/main/first/561/1.jpg
u0000000051997,法蘭絨襯衫(長袖),男士上衣,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000051997/main/first/561/1.jpg
u0000000052091,府綢襯衫(長袖)(條紋),男士上衣,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052091/main/first/561/1.jpg
u0000000051953,府綢寬版襯衫(長袖)(條紋),男士上衣,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000051953/main/first/561/1.jpg
u0000000052135,PEANUTS 印花休閒上衣(長袖),男士上衣,深灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052135/main/first/561/1.jpg
u0000000050830,DRY網眼POLO衫(短袖)(滾邊),男士上衣,白色,NT$390,https://www.uniqlo.com/tw/hmall/test/u0000000050830/main/first/561/1.jpg
u0000000051737,Pokémon 印花休閒上衣(長袖),男士上衣,深灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051737/main/first/561/1.jpg
u0000000052025,法蘭絨寬版襯衫(長袖)(格紋),男士上衣,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052025/main/first/561/1.jpg
u0000000051773,吉卜力工作室 印花休閒上衣(長袖),男士上衣,深灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000051773/main/first/561/1.jpg
u0000000051070,寬版休閒連帽上衣(長袖),男士上衣,黑色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000051070/main/first/561/1.jpg
u0000000052430,防風防潑水刷毛連帽外套(長袖),男士上衣,深灰色,NT$1490,https://www.uniqlo.com/tw/hmall/test/u0000000052430/main/first/561/1.jpg
u0000000051461,DRY華夫格亨利領T恤(短袖),男士上衣,深灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000051461/main/first/561/1.jpg
u0000000052093,刷毛外套(長袖),男士上衣,深灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052093/main/first/561/1.jpg
u0000000053020,法蘭絨襯衫(長袖/格紋),男士上衣,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000053020/main/first/561/1.jpg
u0000000050320,特級抗皺舒適合身襯衫(長袖)(鈕釦領/條紋),男士上衣,淺藍色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000050320/main/first/561/1.jpg
u0000000050558,休閒長褲(稍長),男士上衣,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000050558/main/first/561/1.jpg
u0000000050696,棉麻襯衫(短袖)(條紋),男士上衣,淺灰色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000050696/main/first/561/1.jpg
u0000000052883,AIRism棉質網眼POLO衫(短袖),男士上衣,深灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052883/main/first/561/1.jpg
u0000000052525,斜紋工作寬版襯衫(長袖)(格紋),男士上衣,深灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052525/main/first/561/1.jpg
